text,target,category,polarity
Türk kahvesi de fena değil.,Türk kahvesi,DRINKS#QUALITY,positive
"Manzarasi ve dizayni guzel fakat garsonlar ilgisiz, porsiyonlar cok kucuk ve pahali.",Manzarasi ve dizayni,AMBIENCE#GENERAL,positive
"Manzarasi ve dizayni guzel fakat garsonlar ilgisiz, porsiyonlar cok kucuk ve pahali.",porsiyonlar,FOOD#STYLE_OPTIONS,negative
"Manzarasi ve dizayni guzel fakat garsonlar ilgisiz, porsiyonlar cok kucuk ve pahali.",garsonlar,SERVICE#GENERAL,negative
"Manzarasi ve dizayni guzel fakat garsonlar ilgisiz, porsiyonlar cok kucuk ve pahali.",NULL,RESTAURANT#PRICES,negative
Lezzet eh iste.,Lezzet,FOOD#QUALITY,neutral
Ozetle manzara disinda bisey yok.,manzara,AMBIENCE#GENERAL,positive
Ozetle manzara disinda bisey yok.,NULL,RESTAURANT#GENERAL,negative
Happy hour icin vazgecilmez nokta.,Happy hour,RESTAURANT#GENERAL,positive
Bence burgerleri ve pizzasi Kanyon'da yenebilecek acik ara en iyi.,burgerleri ve pizzasi,FOOD#QUALITY,positive
Zincirler icinde tek tercih edilebilir yer.,yer,RESTAURANT#GENERAL,positive
Adi her ne kadar pizzaci olsa da ne yazik ki pizzalar ortalama.,pizzalar,FOOD#QUALITY,neutral
Neden bu kadar popüler oldugunu anlamiyorum.,NULL,RESTAURANT#GENERAL,negative
Num Num gerçegi - Yediginiz herseyin hakkini verdikleri bir gerçek.,Yediginiz herseyin,FOOD#QUALITY,positive
Yemeklerin doyuruculugu ve lezzeti tartisilmaz ancak ögle saatlerinde yer bulmakta oldukça sikintili.,Yemeklerin doyuruculugu ve lezzeti,FOOD#QUALITY,positive
Yemeklerin doyuruculugu ve lezzeti tartisilmaz ancak ögle saatlerinde yer bulmakta oldukça sikintili.,yer bulmakta,AMBIENCE#GENERAL,negative
Manzaraya da sufleye de bayildik.,Manzaraya,AMBIENCE#GENERAL,positive
Manzaraya da sufleye de bayildik.,sufleye,FOOD#QUALITY,positive
Karsida isiklariyla Rumeli Hisari ve köprü manzarasi esliginde bir aksamüstü Big Chefs'te oturmak çok keyifliydi.,Big Chefs'te oturmak,AMBIENCE#GENERAL,positive
Karsida isiklariyla Rumeli Hisari ve köprü manzarasi esliginde bir aksamüstü Big Chefs'te oturmak çok keyifliydi.,köprü manzarasi,AMBIENCE#GENERAL,positive
"Sufle 13,5 lira, çay 4,5 lira.","4,5 lira",DRINKS#PRICES,neutral
"Sufle 13,5 lira, çay 4,5 lira.","13,5 lira",FOOD#PRICES,neutral
Burada sulu yemek yok.,sulu yemek,FOOD#STYLE_OPTIONS,neutral
Gençler ve ögrenciler için fiyatlari daha uygun tutmuslar.,fiyatlari,RESTAURANT#PRICES,positive
Lahmacun döner burger pide ve köfte çesitleri mevcut.,çesitleri,FOOD#STYLE_OPTIONS,positive
Iftar menüsü 80 TL.,Iftar menüsü,FOOD#PRICES,neutral
Ezogelin çorba çok tuzluydu.,Ezogelin çorba,FOOD#QUALITY,negative
Ve erken servis edildigi için iftara kadar sogudu.,servis edildigi,SERVICE#GENERAL,negative
Içli köfte ve pirzola güzeldi.,Içli köfte ve pirzola,FOOD#QUALITY,positive
Servis elemanlari yetersiz oldugu için yavasti.,Servis,SERVICE#GENERAL,negative
Her seyden öte böyle bir mekana bu tuvaletler hiç yakismiyor,tuvaletler,AMBIENCE#GENERAL,negative
"Bir yer düşünün ki içecekler bardakla geliyor, garsonlar suratsız ve Islak mendil bulunmuyor sebepsiz yere -_- buraya ne olmuş böyle !",içecekler,DRINKS#STYLE_OPTIONS,negative
"Bir yer düşünün ki içecekler bardakla geliyor, garsonlar suratsız ve Islak mendil bulunmuyor sebepsiz yere -_- buraya ne olmuş böyle !",garsonlar,SERVICE#GENERAL,negative
Hayal kırıklığı,NULL,RESTAURANT#GENERAL,negative
"Civardaki restorantlardan pek bir farkı yok, servisi yavaş.",servisi,SERVICE#GENERAL,negative
Her deniz ürününü karıştırıp önünüze getiriyorlar.,deniz ürününü,FOOD#STYLE_OPTIONS,neutral
Açıkçası hicbirinin tadını tam alamiyorsunuz.,NULL,FOOD#STYLE_OPTIONS,negative
Balik ve deniz ürünlerini çok sevmeyenler Balik KFCsi kıvamında olduğu ve Kızartma bol olduğu için sevebilirler.,Kızartma,FOOD#STYLE_OPTIONS,positive
Sadece soya soslu somon başarılıydı.,soya soslu somon,FOOD#QUALITY,positive
Sadece soya soslu somon başarılıydı.,başarılıydı,FOOD#QUALITY,negative
"Kisin iç kismi dag evini animsatan, yazin bahçesi yesillikler icersinde ve ferah olan, açik büfe kahvaltisi zengin çesitleriyle bir hayli rabet gören, bunun haricinde genellikle nargile severlerin ugrak mekani olan tatli bir cafe.",cafe,RESTAURANT#GENERAL,positive
"Kisin iç kismi dag evini animsatan, yazin bahçesi yesillikler icersinde ve ferah olan, açik büfe kahvaltisi zengin çesitleriyle bir hayli rabet gören, bunun haricinde genellikle nargile severlerin ugrak mekani olan tatli bir cafe.",bahçesi,AMBIENCE#GENERAL,positive
"Kisin iç kismi dag evini animsatan, yazin bahçesi yesillikler icersinde ve ferah olan, açik büfe kahvaltisi zengin çesitleriyle bir hayli rabet gören, bunun haricinde genellikle nargile severlerin ugrak mekani olan tatli bir cafe.",açik büfe kahvaltisi,FOOD#STYLE_OPTIONS,positive
"Utanmadan bozuk içli köfte, acilasmis tereyagi servis edebilen bir mekan...",içli köfte,FOOD#QUALITY,negative
"Utanmadan bozuk içli köfte, acilasmis tereyagi servis edebilen bir mekan...",tereyagi,FOOD#QUALITY,negative
Garsonu bu kadar uyardigimizda ise sadece iletirim dedi.,Garsonu,SERVICE#GENERAL,negative
Özür bile dilemediler.,NULL,SERVICE#GENERAL,negative
Machiato dediğim halde yerine espresso servis eden işletme.,servis eden,SERVICE#GENERAL,negative
"Boş bardak, fincan, tabak masada bekliyor, toplayan yok.",toplayan,SERVICE#GENERAL,negative
"Menüdeki çeşitleri sorunca, o yok, bu yok, onun yerine şunu verelim, bunu verelim.",NULL,FOOD#STYLE_OPTIONS,negative
"Kirli, iyi yıkanmamış bardakla çay servisi.",çay servisi,SERVICE#GENERAL,negative
Mado'nun genel hastalıklarının bir araya gelmiş hali gibi.,NULL,RESTAURANT#GENERAL,negative
Manzara satıyor burada da.,satıyor,RESTAURANT#GENERAL,negative
Manzara satıyor burada da.,Manzara,AMBIENCE#GENERAL,positive
Yoksa Mado'ların kötü bir örneği.,örneği,RESTAURANT#GENERAL,negative
Ev yemekleri hergün farkli - Tipki anne eli degmis gibi lezzetli ev yemekleri...,ev yemekleri,FOOD#QUALITY,positive
Ev yemekleri hergün farkli - Tipki anne eli degmis gibi lezzetli ev yemekleri...,Ev yemekleri,FOOD#STYLE_OPTIONS,positive
Mekan çok küçük hemen doluyor.,Mekan,AMBIENCE#GENERAL,negative
Öglenleri yer bulamadigimiz çok oluyor.,yer bulamadigimiz,SERVICE#GENERAL,negative
Genelde ürünler lezzetli ve fiyat da uygun .,ürünler,FOOD#QUALITY,positive
Genelde ürünler lezzetli ve fiyat da uygun .,fiyat,FOOD#PRICES,positive
Öglen için tercih edilebilir ama 12yi çok geçirmemek gerekiyor...,NULL,SERVICE#GENERAL,negative
Öglen için tercih edilebilir ama 12yi çok geçirmemek gerekiyor...,NULL,RESTAURANT#GENERAL,positive
"Cok guzel sirin bir mekan yemekler kokteyliler super manzara cok iyi, tabiki bu guzel seyler icin sira bekleyebilirsiniz.",manzara,AMBIENCE#GENERAL,positive
"Cok guzel sirin bir mekan yemekler kokteyliler super manzara cok iyi, tabiki bu guzel seyler icin sira bekleyebilirsiniz.",yemekler,FOOD#QUALITY,positive
"Cok guzel sirin bir mekan yemekler kokteyliler super manzara cok iyi, tabiki bu guzel seyler icin sira bekleyebilirsiniz.",kokteyliler,DRINKS#QUALITY,positive
"Cok guzel sirin bir mekan yemekler kokteyliler super manzara cok iyi, tabiki bu guzel seyler icin sira bekleyebilirsiniz.",mekan,AMBIENCE#GENERAL,positive
Malzemeler güzel ama hamuru çok sevemedim.,Malzemeler,FOOD#STYLE_OPTIONS,positive
Malzemeler güzel ama hamuru çok sevemedim.,hamuru,FOOD#STYLE_OPTIONS,negative
Genel olarak mekan şirin.,mekan,AMBIENCE#GENERAL,positive
Alkol olsa daha tutulabilirler.,Alkol,DRINKS#STYLE_OPTIONS,negative
Hayatımın en pahalı yemeğini yediğim restoran.,yemeğini,FOOD#PRICES,negative
Yemekler lezzetli olmasına rağmen FSM köprüsünün başınızın üstünde zebellah gibi durması manzaranın keyfini kaçırmakta.,manzaranın,AMBIENCE#GENERAL,negative
Yemekler lezzetli olmasına rağmen FSM köprüsünün başınızın üstünde zebellah gibi durması manzaranın keyfini kaçırmakta.,Yemekler,FOOD#QUALITY,positive
Yemek porsiyonları çok küçük.,Yemek porsiyonları,FOOD#STYLE_OPTIONS,negative
Vale hizmeti var.,Vale hizmeti,SERVICE#GENERAL,neutral
Rock'n Roll burger yedim.,Rock'n Roll burger,FOOD#QUALITY,neutral
Burger ekmegi yumusamis dagiliyordu.,Burger ekmegi,FOOD#QUALITY,negative
Icinde ki sos da pek bi istah acici degildi.,sos,FOOD#QUALITY,negative
Ortami guzel gidilecekse onun icin gidelebilir.,Ortami,AMBIENCE#GENERAL,positive
"Mekan enteresan bir havaya sahip , haftaici aksamlari abiler ellerinde nargilelerle çayla muhabbetin dibine vururken.",Mekan,AMBIENCE#GENERAL,neutral
Hafta sonu sabahlari ozellikle evli ve cocuklu ciftlerin kahvalti merkezi oluyor.,kahvalti merkezi,RESTAURANT#GENERAL,neutral
Yemeklerini ve caylarini begendigim.,Yemeklerini,FOOD#QUALITY,positive
Yemeklerini ve caylarini begendigim.,caylarini,DRINKS#QUALITY,positive
Fiyat olarak gayet mantikli bir isletme.,Fiyat,RESTAURANT#PRICES,positive
Tavsiyemdir,NULL,RESTAURANT#GENERAL,positive
Kendilerine özel biraları mevcut olsaydı belki daha güzel olurdu ama standart biralardan içmek durumunda kaldık.,biraları,DRINKS#STYLE_OPTIONS,negative
Bunun haricinde servis iyi garsonlar güleryüzlü ve rahat bir mekan.,garsonlar,SERVICE#GENERAL,positive
Bunun haricinde servis iyi garsonlar güleryüzlü ve rahat bir mekan.,servis,SERVICE#GENERAL,positive
Bunun haricinde servis iyi garsonlar güleryüzlü ve rahat bir mekan.,mekan,AMBIENCE#GENERAL,positive
Yemekler de farklı tadlar var.,Yemekler,FOOD#STYLE_OPTIONS,positive
Cuma iş çıkışı arkadaşlarla takılmalık bir mekan.,mekan,AMBIENCE#GENERAL,positive
Çok fazla lezzetli alternatifi bulunan menüsünü seviyorum.,menüsünü,FOOD#STYLE_OPTIONS,positive
Çok fazla lezzetli alternatifi bulunan menüsünü seviyorum.,menüsünü,FOOD#QUALITY,positive
Citys'in alt katındayken tanıdık sevdik.,NULL,RESTAURANT#GENERAL,positive
"Magnolia'sı ayrı, limonatası ayrı güzel.",Magnolia'sı,FOOD#QUALITY,positive
"Magnolia'sı ayrı, limonatası ayrı güzel.",limonatası,DRINKS#QUALITY,positive
Bir peynirli tostu bile çok özenle sunuyorlar.,sunuyorlar,SERVICE#GENERAL,positive
Somon ızgarasına 4 puan.,Somon ızgarasına,FOOD#QUALITY,neutral
Hem sağlıklı hem de doyurucu.,NULL,FOOD#QUALITY,positive
Güzel bir öğle yemeği molası.,öğle yemeği,FOOD#QUALITY,positive
Bahçesi de güzel.,Bahçesi,AMBIENCE#GENERAL,positive
Salıncağı bile var.,Salıncağı,AMBIENCE#GENERAL,positive
Yemek üzerine de soğuk kahve iyi gidiyor.,soğuk kahve,DRINKS#QUALITY,positive
"Boğazın en güzel yerlerinden birinde, sıcak, sempatik ve zevkli dekorasyonu ve şahane manzarası, genç müşteri kitlesi, güzel müzikleri yetmezmiş gibi güler yüzlü arkadaşca servisi de mükemmel.",manzarası,AMBIENCE#GENERAL,positive
"Boğazın en güzel yerlerinden birinde, sıcak, sempatik ve zevkli dekorasyonu ve şahane manzarası, genç müşteri kitlesi, güzel müzikleri yetmezmiş gibi güler yüzlü arkadaşca servisi de mükemmel.",servisi,SERVICE#GENERAL,positive
"Boğazın en güzel yerlerinden birinde, sıcak, sempatik ve zevkli dekorasyonu ve şahane manzarası, genç müşteri kitlesi, güzel müzikleri yetmezmiş gibi güler yüzlü arkadaşca servisi de mükemmel.",yerlerinden,LOCATION#GENERAL,positive
"Boğazın en güzel yerlerinden birinde, sıcak, sempatik ve zevkli dekorasyonu ve şahane manzarası, genç müşteri kitlesi, güzel müzikleri yetmezmiş gibi güler yüzlü arkadaşca servisi de mükemmel.",müzikleri,AMBIENCE#GENERAL,positive
"Boğazın en güzel yerlerinden birinde, sıcak, sempatik ve zevkli dekorasyonu ve şahane manzarası, genç müşteri kitlesi, güzel müzikleri yetmezmiş gibi güler yüzlü arkadaşca servisi de mükemmel.",dekorasyonu,AMBIENCE#GENERAL,positive
Kahvaltı seçenekleri çok iyi.,Kahvaltı seçenekleri,FOOD#STYLE_OPTIONS,positive
Yemekleri de fena değil.,Yemekleri,FOOD#QUALITY,neutral
Tüm bu özelikleri göz önüne alınca fiyatlar çok makul geliyor.,fiyatlar,RESTAURANT#PRICES,positive
"Gece, gündüz, her zaman için öneririm.",NULL,RESTAURANT#GENERAL,positive
Besiktaki en hakiki pideci diyebilirim.,pideci,FOOD#QUALITY,positive
ben bu yuzden tatli yemegi tercih etmedim.,NULL,FOOD#QUALITY,negative
fiyatlari 13-17 tl arasi porsiyonlari 1.5 olarak buyutmek de mumkun.,fiyatlari,FOOD#PRICES,neutral
fiyatlari 13-17 tl arasi porsiyonlari 1.5 olarak buyutmek de mumkun.,porsiyonlari,FOOD#STYLE_OPTIONS,neutral
puanimdan sirf yavas yuzunden kisiyorum!,NULL,SERVICE#GENERAL,negative
puanimdan sirf yavas yuzunden kisiyorum!,kisiyorum,RESTAURANT#GENERAL,positive
otobus duraginin hemen karsisinda yeri cok kolay.,yeri,LOCATION#GENERAL,positive
porsiyonu tam malzemesi bol hamuru citir citir fakat servis icin ayni hosnutluktan bahsedemicem.,malzemesi,FOOD#STYLE_OPTIONS,positive
porsiyonu tam malzemesi bol hamuru citir citir fakat servis icin ayni hosnutluktan bahsedemicem.,porsiyonu,FOOD#STYLE_OPTIONS,positive
porsiyonu tam malzemesi bol hamuru citir citir fakat servis icin ayni hosnutluktan bahsedemicem.,hamuru,FOOD#STYLE_OPTIONS,positive
porsiyonu tam malzemesi bol hamuru citir citir fakat servis icin ayni hosnutluktan bahsedemicem.,servis,SERVICE#GENERAL,negative
servis oldukca yavas.,servis,SERVICE#GENERAL,negative
yavas demek bile az kalir.,NULL,SERVICE#GENERAL,negative
az vaktiniz varsa kesinlikle ogle saatlerinde ugramayiniz.,NULL,SERVICE#GENERAL,negative
besiktas da yiyebilceniz en iyi pide ama odun atesinde pisenin yerini tutmuyor tabiki.,NULL,FOOD#STYLE_OPTIONS,negative
besiktas da yiyebilceniz en iyi pide ama odun atesinde pisenin yerini tutmuyor tabiki.,pide,FOOD#QUALITY,positive
tatli secenekleri de mevcur sufle ve kunefe var menu de var da pide o kadar gec gelince insani tatli siparisi dusunduruyor.,gelince,SERVICE#GENERAL,negative
tatli secenekleri de mevcur sufle ve kunefe var menu de var da pide o kadar gec gelince insani tatli siparisi dusunduruyor.,tatli,FOOD#STYLE_OPTIONS,positive
Eski kalitesinde olmasada hala iyi diyelim talep çok olunca ister istemez kalite ve servis vasata düşüyor etleri kenfi çiftliklerinden otopark sorun fiatlar normal,servis,SERVICE#GENERAL,neutral
Eski kalitesinde olmasada hala iyi diyelim talep çok olunca ister istemez kalite ve servis vasata düşüyor etleri kenfi çiftliklerinden otopark sorun fiatlar normal,otopark,SERVICE#GENERAL,negative
Eski kalitesinde olmasada hala iyi diyelim talep çok olunca ister istemez kalite ve servis vasata düşüyor etleri kenfi çiftliklerinden otopark sorun fiatlar normal,fiatlar,RESTAURANT#PRICES,neutral
Eski kalitesinde olmasada hala iyi diyelim talep çok olunca ister istemez kalite ve servis vasata düşüyor etleri kenfi çiftliklerinden otopark sorun fiatlar normal,kalite,RESTAURANT#GENERAL,neutral
"Manzarasi icin gidilesi cafe , cok fazla yazacak bisey yok.",Manzarasi,AMBIENCE#GENERAL,positive
fiyatlar standart seviyede.,fiyatlar,RESTAURANT#PRICES,neutral
otopark sorunu yok.,otopark,LOCATION#GENERAL,positive
sessiz sakin ve huzurlu bir mekan.,mekan,AMBIENCE#GENERAL,positive
Kuru fasulyesi lezzetli.,Kuru fasulyesi,FOOD#QUALITY,positive
Sutlaci tavsiye edilir.,Sutlaci,FOOD#QUALITY,positive
Köftesi de kaliteli.,Köftesi,FOOD#QUALITY,positive
Sade güzel bir yer.,yer,AMBIENCE#GENERAL,positive
Çalışanlar ilgili kibar.,Çalışanlar,SERVICE#GENERAL,positive
Ortaköye yolu düşen ugramali.,NULL,RESTAURANT#GENERAL,positive
Park sorunu ciddi.,Park,LOCATION#GENERAL,negative
Valesi var gerçi.,Valesi,SERVICE#GENERAL,neutral
Pazar sabahları brunch dışında seçeneğiniz yok.,seçeneğiniz,FOOD#STYLE_OPTIONS,negative
Brunch çeşitleri ehh.,Brunch,FOOD#STYLE_OPTIONS,neutral
Masaya istenen sucuklu yumurtanın sucuğuna extra ücret istenmesi ayıp.,ücret,FOOD#PRICES,negative
Mekanın lokasyonu on numara ama rezervasyonsuz deniz kenarı masa bulmanız imkansız.,Mekanın lokasyonu,LOCATION#GENERAL,positive
"Böyle bir brunch için 59TL, 4 ince dilim sucuk için 5TL extra ücret mânâsız.",ücret,FOOD#PRICES,negative
"Böyle bir brunch için 59TL, 4 ince dilim sucuk için 5TL extra ücret mânâsız.",brunch,FOOD#PRICES,negative
En son kabalık bir grup halinde gittiğimizde siparişlerde karışıklık olmuştu malesef.,siparişlerde,SERVICE#GENERAL,negative
"Tek kelimeyle muhtesem bir lezzet, doner kesimi tam olarak usta isi.",doner kesimi,FOOD#STYLE_OPTIONS,positive
"Tek kelimeyle muhtesem bir lezzet, doner kesimi tam olarak usta isi.",lezzet,FOOD#QUALITY,positive
Yagsiz ve cok lezzetli.,NULL,FOOD#QUALITY,positive
Yaninda getirdikleri tandir lavasi ise bugune kadar yedigim en lezzetli lavas.,tandir lavasi,FOOD#QUALITY,positive
Oturdugunuz gibi siparisiniz aliniyor ve hemen servis yapilmaya baslaniyor.,siparisiniz,SERVICE#GENERAL,positive
Ortaya ise salata ve patates kizartmasi getiriyolar.,salata ve patates kizartmasi,FOOD#STYLE_OPTIONS,neutral
Acik ara en iyi donerci.,donerci,RESTAURANT#GENERAL,positive
Big chefs her daim şişirilmiş bir kafedir.,kafedir,RESTAURANT#GENERAL,negative
Çünkü size oluru olmayan fiyatlar sunar.,fiyatlar,RESTAURANT#PRICES,negative
İsim yapmıştır çünkü pahalı olduğu için kaliteli algısı yaratır .,NULL,RESTAURANT#PRICES,negative
"Bir ayvalık tostuna 20 tl , bir kavanoz tatlıya 20 tl vs. Yazan bu mekana kesinlikle gitmem .",kavanoz tatlıya,FOOD#PRICES,negative
"Bir ayvalık tostuna 20 tl , bir kavanoz tatlıya 20 tl vs. Yazan bu mekana kesinlikle gitmem .",ayvalık tostuna,FOOD#PRICES,negative
"Bir ayvalık tostuna 20 tl , bir kavanoz tatlıya 20 tl vs. Yazan bu mekana kesinlikle gitmem .",mekana,RESTAURANT#GENERAL,negative
Çünkü bu israftan başka bir şey değil benim nazarımda .,NULL,RESTAURANT#GENERAL,negative
Böyle mekanları biraz boş bırakmak lazım ki Fiyat skalasını biraz düşük aralığa taşısınlar !,Fiyat skalasını,RESTAURANT#PRICES,negative
"Tatlilar - Tatlilari çok güzel, tiramisu özellikle yenilmeli ama ana ögün kadar büyük geliyor dikkat!",tiramisu,FOOD#QUALITY,positive
"Tatlilar - Tatlilari çok güzel, tiramisu özellikle yenilmeli ama ana ögün kadar büyük geliyor dikkat!",Tatlilari,FOOD#QUALITY,positive
"Unsuz çikolatali pastasi biraz agir, diyet yapanlar bulasmasin!",Unsuz çikolatali pastasi,FOOD#QUALITY,negative
Yemeklerin tadi tuzu yok.,Yemeklerin,FOOD#QUALITY,negative
Ortam gürültüden ibaret.,Ortam,AMBIENCE#GENERAL,negative
Garsonlar TV izlemekten size bakmiyor.,Garsonlar,SERVICE#GENERAL,negative
Geçin allahaskina baska bir sürü yer var yenebilecek,NULL,RESTAURANT#GENERAL,negative
Güzel - Konum olarak çok keyifli bir yer degil ancak çalisirken ögle yemekleri için bazen gidiyoruz.,Konum,LOCATION#GENERAL,negative
Güzel - Konum olarak çok keyifli bir yer degil ancak çalisirken ögle yemekleri için bazen gidiyoruz.,ögle yemekleri,FOOD#QUALITY,positive
"Yemeklerin lezzetine inanamayacaksiniz, pastirma ile yapilan Topkapi kebabi çok iyidir.",Yemeklerin lezzetine,FOOD#QUALITY,positive
"Yemeklerin lezzetine inanamayacaksiniz, pastirma ile yapilan Topkapi kebabi çok iyidir.",Topkapi kebabi,FOOD#QUALITY,positive
Koftenin hicbir ozelligi yok.,Koftenin,FOOD#QUALITY,negative
Hizmet yok guleryuz yok.,guleryuz,SERVICE#GENERAL,negative
Hizmet yok guleryuz yok.,Hizmet,SERVICE#GENERAL,negative
Manzaranin ekmegini yiyorlar.,NULL,RESTAURANT#GENERAL,negative
Manzaranin ekmegini yiyorlar.,Manzaranin,AMBIENCE#GENERAL,positive
Masalar dipdibe marketten dondurulmus kofte alin evinizde yiyebilirsiniz.,Masalar,AMBIENCE#GENERAL,negative
Siradan - Siradan kebaplari olan mekan...,kebaplari,FOOD#QUALITY,negative
Kebap için kesinlikle gidilmeli denemez ama tatlilari inanilmaz güzel.,tatlilari,FOOD#QUALITY,positive
Kebap için kesinlikle gidilmeli denemez ama tatlilari inanilmaz güzel.,Kebap,FOOD#QUALITY,neutral
Hizmetten cok memnun kaldik.,Hizmetten,SERVICE#GENERAL,positive
Herkes cok ilgili ve guler yuzluydu.,Herkes,SERVICE#GENERAL,positive
D Somon izgara ve etli quesadilla sipariz ettik.,D Somon izgara,FOOD#QUALITY,neutral
D Somon izgara ve etli quesadilla sipariz ettik.,etli quesadilla,FOOD#QUALITY,neutral
"Somon izgaranin altinda olan kuskonmazli ispanakli sote mukemmeldi, yemek ise genel olarak guzeldi.",kuskonmazli ispanakli sote,FOOD#QUALITY,positive
"Somon izgaranin altinda olan kuskonmazli ispanakli sote mukemmeldi, yemek ise genel olarak guzeldi.",yemek,FOOD#QUALITY,positive
Etli quesadillanin ise ozellikle eti cok guzeldi.,Etli quesadillanin,FOOD#QUALITY,positive
Mutlaka bir daha gelicez :,NULL,RESTAURANT#GENERAL,positive
Sevdiğim bir mekan.,mekan,RESTAURANT#GENERAL,positive
"Müzikler, bahçesi, menüsü güzel.",menüsü,FOOD#STYLE_OPTIONS,positive
"Müzikler, bahçesi, menüsü güzel.",bahçesi,AMBIENCE#GENERAL,positive
"Müzikler, bahçesi, menüsü güzel.",Müzikler,AMBIENCE#GENERAL,positive
Ferah bir ortamı var ve kalabalık buluşmalar için de uygun bir yer.,yer,AMBIENCE#GENERAL,positive
Ferah bir ortamı var ve kalabalık buluşmalar için de uygun bir yer.,ortamı,AMBIENCE#GENERAL,positive
Çalışanları da güler yüzlü.,Çalışanları,SERVICE#GENERAL,positive
Girerken böyle bir yerle karşılaşacağınızı tahmin etmiyorsunuz konumu nedeniyle.,konumu,LOCATION#GENERAL,negative
Sütiş'in Emirgan şubesi gibi bu şubesinin manzarası da çok güzel deniz hemen yanınızda köprü hemen sağ çaprazda :,manzarası,AMBIENCE#GENERAL,positive
) yemekler güzel fiyatlar da mekana göre gayet uygun.,fiyatlar,RESTAURANT#PRICES,positive
) yemekler güzel fiyatlar da mekana göre gayet uygun.,yemekler,FOOD#QUALITY,positive
Tavukgöğsü başarılı :,Tavukgöğsü,FOOD#QUALITY,positive
Berbat biyer rezervasyon yaptirdigim halde misafirlerime rezil oldum rezalet biyer calisanlarin tavirlari olsun ilgileri herseyi rezalet otesi,biyer,RESTAURANT#GENERAL,negative
Berbat biyer rezervasyon yaptirdigim halde misafirlerime rezil oldum rezalet biyer calisanlarin tavirlari olsun ilgileri herseyi rezalet otesi,calisanlarin tavirlari,SERVICE#GENERAL,negative
Çömlekte ev yapimi yogurtlarini mutlaka deneyin.,Çömlekte ev yapimi yogurtlarini,FOOD#QUALITY,positive
Eski zamanlar biraktigimiz gerçek yogurdun tadini yakalayacaksiniz.,yogurdun,FOOD#QUALITY,positive
Fiyati da saka gibi.,Fiyati,FOOD#PRICES,neutral
Mükellef bir yemek sonrasi ortalama 15-25 TL'ye mekandan çikabilirsiniz.,15-25 TL'ye,FOOD#PRICES,positive
"Dekorasyon zevkli olmus, özellikle mekanin ortasina konuslanmis bonsai agaç beni benden aldi.",Dekorasyon,AMBIENCE#GENERAL,positive
"Dekorasyon zevkli olmus, özellikle mekanin ortasina konuslanmis bonsai agaç beni benden aldi.",bonsai agaç,AMBIENCE#GENERAL,positive
Çok iyi karsilandik ve sonuna kadar el üstünde tutulduk.,karsilandik,SERVICE#GENERAL,positive
Harikasiniz arkadaslar.,NULL,RESTAURANT#GENERAL,positive
) Her seyden ufak ufak tattik.,Her seyden,FOOD#QUALITY,neutral
Yemeklerde favorilerim döner ve kavurmali pide oldu.,döner ve kavurmali pide,FOOD#QUALITY,positive
Kavurmali pide için tekrar ugrayacagim.,Kavurmali pide,FOOD#QUALITY,positive
Tatlilarda tavuk gögsü gerçekten lezizdi.,tavuk gögsü,FOOD#QUALITY,positive
"Irmik helvasinin da tavuk gögsünden eksigi yoktu, sekeri kivamindaydi ve hafifti.",Irmik helvasinin,FOOD#QUALITY,positive
"Irmik helvasinin da tavuk gögsünden eksigi yoktu, sekeri kivamindaydi ve hafifti.",tavuk gögsünden,FOOD#QUALITY,positive
"Buraya sık geliyorum, leventte çalışanların da çok tercih ettiği bir yer.",yer,RESTAURANT#GENERAL,positive
Yemekleri eskiden daha güzeldi özellikle mantısı çok başarılıydı.,mantısı,FOOD#QUALITY,neutral
Yemekleri eskiden daha güzeldi özellikle mantısı çok başarılıydı.,Yemekleri,FOOD#QUALITY,neutral
"Ancak her gün çeşit çeşit ev yemeğinin çıkıyor olması çok cazip, ister zeytinyağlılar ister sıcak yemekler insanı her gün fast food yemekten alıkoyuyor.",ev yemeğinin,FOOD#STYLE_OPTIONS,positive
"Zeytinyağlı tabağı başarılı, salatalarının da porsiyonu çok büyük tavsiye ederim.",Zeytinyağlı tabağı,FOOD#QUALITY,positive
"Zeytinyağlı tabağı başarılı, salatalarının da porsiyonu çok büyük tavsiye ederim.",porsiyonu,FOOD#STYLE_OPTIONS,positive
ve oradakı koku olayına bır hal care bulamadıkları ıcın yazık olan mekandır.,mekandır,AMBIENCE#GENERAL,negative
Taksim'de kendi tarzına göre keyifle gidilecek mekanlardan biri.,mekanlardan,RESTAURANT#GENERAL,positive
) Hamburgeri hoşuma gidiyor ve NY steak de tavsiye edebilirim.,NY steak,FOOD#QUALITY,positive
) Hamburgeri hoşuma gidiyor ve NY steak de tavsiye edebilirim.,Hamburgeri,FOOD#QUALITY,positive
İçecek olarak genelde bira sevdiğim için kokteylleri için bir şey söyleyemeyeceğim.,kokteylleri,DRINKS#QUALITY,neutral
Afiyetle!,NULL,FOOD#QUALITY,positive
Ben artık happy moons u beğenmiyorum.,happy moons,RESTAURANT#GENERAL,negative
Servisi iyiydi çalışanları güleryüzlü fakat yemeklerinden eskiden aldığım tadı almıyorum.,çalışanları,SERVICE#GENERAL,positive
Servisi iyiydi çalışanları güleryüzlü fakat yemeklerinden eskiden aldığım tadı almıyorum.,Servisi,SERVICE#GENERAL,positive
